binomial,PCA,Segment classification,Colour discriminability
Haematopus fuliginosus,-0.89,-0.56,-0.68
Haematopus ostralegus,-0.83,-0.7,-0.69
Haematopus palliatus,-0.86,-0.79,-0.73
Halcyon sancta,0.32,0.44,-0.01
Haliastur sphenurus,-0.26,-0.55,-0.3
Heliornis fulica,-0.02,0.14,0.48
Heteromyias albispecularis,-0.59,-0.65,-0.69
Hieraaetus morphnoides,0.12,-0.32,-0.43
Hirundo neoxena,-0.39,0.41,-0.13
Hirundo nigricans,0.14,-0.45,-0.45
Hirundo rustica,-0.35,-0.38,-0.47
Hirundo tahitica,-0.46,-0.3,-0.05
Hylacola cautus,0.01,-0.25,-0.09
Hylophilus aurantiifrons,-0.41,-0.67,-0.48
Hylophilus ochraceiceps,-0.69,-0.66,-0.5
Icteria virens,-0.46,-0.5,-0.12
Icterus bullockii,2.18,1.78,2.32
Icterus galbula,0.53,1.07,2.5
Icterus parisorum,0.08,-0.03,0
Icterus pectoralis,-0.66,-0.39,-0.39
Icterus spurius,1.72,1.93,2.82
Ixobrychus exilis,0.31,0.14,0.2
Jacana spinosa,-0.97,-0.62,-0.54
Junco hyemalis,-0.67,-0.51,-0.43
Jynx torquilla,-0.45,-0.71,-0.59
Lagopus lagopus,0.07,-0.45,-0.44
Lagopus leucurus,0.5,-0.53,-0.63
Lagopus mutus,-0.09,0.15,0.68
Lalage atroviriens,0.04,0.23,-0.14
Lalage tricolor,3.45,2.11,1.37
Lamprotornis pulcher,-0.71,-0.1,-0.28
Laniocera rufescens,-0.81,-0.71,-0.51
Lanius collaris,-0.8,-0.73,-0.69
Lanius cristatus,-0.19,-0.55,-0.47
Lanius schach,-0.44,-0.7,-0.68
Larus argentatus,0.13,-0.66,-0.87
Larus californicus,-0.26,-0.75,-0.72
Larus canus,-0.04,-0.7,-0.82
Larus delewarensis,-0.2,-0.71,-0.79
Larus fuscus,-0.46,-0.72,-0.75
Larus glaucescens,-0.4,-0.81,-0.85
Larus marinus,0.6,-0.43,-0.59
Legatus leucophaius,-0.39,-0.83,-0.81
Leptolophus hollandicus,0.79,0.06,-0.01
Leucosticte arctoa,-0.45,-0.33,-0.16
Lichenostomus chrysops,-0.69,-0.79,-0.73
Lichenostomus cratitius,-0.79,-0.78,-0.61
Lichenostomus flavescens,-0.63,-0.71,-0.54
Lichenostomus flavicollis,-0.68,-0.75,-0.56
Lichenostomus flavus,-0.57,-0.84,-0.7
Lichenostomus fuscus,-0.23,-0.55,-0.41
Lichenostomus melanops,-0.48,-0.57,-0.33
Lichenostomus ornatus,-0.44,-0.64,-0.46
Lichenostomus penicillatus,0.02,-0.36,-0.26
Lichenostomus virescens,-0.48,-0.67,-0.54
Limnodromus griseus,-0.58,-0.81,-0.66
Limnodromus scolopaceus,-0.77,-0.73,-0.57
Limnothlypis swansonii,-0.58,-0.72,-0.63
Limosa fedoa,-0.07,-0.61,-0.62
Limosa haemastica,-0.69,-0.71,-0.56
Limosa lapponica,-0.16,-0.34,-0.14
Loboparadisea sericea,-,1.16,-
Lonchura caniceps,-0.31,-0.46,-0.31
Lonchura castaneothorax,-0.53,-0.66,-0.48
Lonchura spectabilis,-0.86,-0.56,-0.43
Lonchura striata,-0.82,-0.8,-0.65
Lonchura tristissima,-0.85,-0.63,-0.49
Lophura leucomelana,1.4,1.51,2.14
Loxia curvirostra,0.34,0,0.3
Loxia leucoptera,-0.25,0.52,0.55
Luscinia svecica,-0.29,0.66,0.32
Malurus alboscapulatus,-0.54,3.15,1.13
Malurus amabilis,2.05,2.11,1.33
Malurus coronotus,0.68,0.95,0.83
Malurus cyaneus,5.42,4.48,4.3
Malurus elegans,3.21,2.14,1.79
Malurus l.assimilis,3.05,2.95,2.58
Malurus lamberti,3.81,1.49,2.65
Malurus leucopterus,3.15,6.1,4.78
Malurus melanocephalus,2.7,2.66,2.84
Malurus pulcherrimus,1.3,3.59,2.64
Malurus s.melanotus,6.05,4.62,4.58
Malurus splendens,7.18,4.07,3.85
Manacus manacus,5.74,2.3,1.91
Mandingoa ntitdula,-0.42,-0.46,-0.11
Manorina flavigula,-0.35,-0.74,-0.54
Manorina melanocephala,-0.66,-0.58,-0.56
Manucodia atra,-0.44,2.03,0.63
Manucodia chalybata,-0.12,1,0.9
Manucodia jobiensis,-,0.61,-
Manucodia keraudrenii,-0.2,-0.13,-0.02
Margarornis squamiger,-0.5,-0.61,-0.53
Megalurus gramineus,-0.64,-0.49,-0.38
Megalurus timoriensis,-0.64,-0.66,-0.54
Megapodius reinwardt,-0.97,-0.59,-0.55
Melanerpes aurifrons,0.14,0.24,-0.12
Melanerpes carolinus,-0.06,0.87,0.88
Melanerpes erythrocephalus,-0.21,1.53,0.51
Melanerpes formicivorus,-0.24,-0.16,-0.01
Melanitta fusca,-0.55,0.28,0.13
Melanocharis longicauda,-0.61,0.28,0.69
Melanocharis nigra,0.86,1.04,1.3
Melanocharis striativentris,-0.79,-0.71,-0.61
Melanocharis versteri,1.03,1.12,2.74
Melanodryas cucullata,0.05,0.88,0.03
Melanodryas vittata,-0.81,-0.71,-0.67
Meleagris gallopavo,1.17,0.33,0.35
Melidectes belfordi,-0.82,-0.7,-0.66
Melidectes ochromelas,-0.95,-0.67,-0.51
Melidectes torquatus,-0.59,-0.58,-0.66
Melilestes megarhynchus,-0.78,-0.68,-0.54
Meliphaga analoga,-0.79,-0.83,-0.66
Meliphaga gracilis,-0.45,-0.76,-0.61
Meliphaga leucotis,-0.78,-0.6,-0.57
Meliphaga lewinii,-0.75,-0.7,-0.69
Meliphaga montana,-0.52,-0.65,-0.39
Meliphaga notata,-0.65,-0.73,-0.64
Melipotes fumigatus,-0.53,-0.51,-0.7
Melithreptus albogularis,-0.55,-0.2,-0.24
Melithreptus brevirostris,-0.73,-0.73,-0.6
Melithreptus lunatus,-0.51,-0.61,-0.66
Melopsittacus undulatus,-0.23,-0.47,0.52
Melospiza georgiana,-0.41,-0.18,-0.03
Melospiza lincolnii,-0.59,-0.67,-0.6
Melospiza melodia,-0.42,-0.55,-0.5
Melozone kieneri,-0.62,-0.76,-0.56
Menura novaehollandiae,-0.38,-0.61,-0.56
